qid 	 similar-qids 
15	6603, 7415
33	3146, 5654, 6986
51	1945, 5236, 7125, 7473
57	7800
89	706, 710, 2868, 3987
145	5514, 7842
175	663, 996, 2262, 2963, 6754, 7027, 7221, 7539
177	7806
179	180
185	7495
237	5244, 6109
319	7342
345	1605, 4728, 5539
363	1170
367	2252
401	4266
445	3959, 6111
447	2914
525	5122
574	5456
580	2344, 4569
636	726, 6785, 7319
663	175, 996, 2262, 2963, 6754, 7027, 7221, 7539
701	3451
706	89, 710, 2868, 3987
710	89, 706, 2868, 3987
714	7582
726	636, 3275
728	2266
734	6362
752	1258
774	4438
844	3057
852	5059
882	883, 1893, 4121
886	2209, 3857
980	7916
996	175, 663, 2262, 2963, 6754, 7027, 7221, 7539
1014	3863, 5539
1032	2562, 5246
1038	1039
1070	2739
1092	2221
1126	4037
1128	1611, 4403, 5454, 7505
1170	363
1182	2580
1258	752
1286	2438
1293	7914
1317	3807
1369	3065, 4883, 7590
1373	5870, 7495
1377	1901, 2324, 4879, 6135
1399	3755
1444	2596
883	882, 1893, 4121
1463	1753
1543	6478, 7884
1595	5433, 5902
1605	345, 4728, 5539
1611	1128, 4403, 5454, 7505
1619	3765, 4635, 7503
1663	1739
1739	1663
1743	2991
1753	1463
1789	2665
1827	4518
1865	2772
1871	3339
1885	2634
1893	882, 883, 4121
1899	7204
1901	1377
1945	51, 5236, 7125, 7473
1947	7253
2068	6149, 7926
2078	4855
2140	7309
2201	6270
2203	2219, 2204
2209	886, 3857
2219	2203, 2204
2221	1092
2252	367
2262	175, 663, 996, 2963, 6754, 7027, 7221, 7539
2266	728
2276	5618
2316	5777
2322	3938, 4051
2324	1377, 6135
2344	580, 4569
2368	4690, 5821
2438	1286
2510	2701
2560	4893, 6099
2562	1032, 3999, 5246
2580	1182
2596	1444
2634	1885
2665	1789
2701	2510
2727	4197, 6931
2737	4571, 5779
2739	1070
2742	6787, 6968
2772	1865
2840	7485
2868	89, 706, 710, 3987
2914	447
2955	5070
2963	175, 663, 996, 2262, 6754, 7027, 7221, 7539
2991	1743
3057	844
3065	1369
3124	4175
3146	33, 5654, 6986
3202	4468, 6734, 7838
3275	726
3339	1871
3347	5805
3373	3575
3451	701
3455	5539
3506	5908
3545	3621
3575	3373
3587	5747
3621	3545
3669	6730
3755	1399
3765	1619, 4635, 7503
3776	4324
3807	1317
3829	4264, 7311
3857	886, 2209
3863	1014
3938	2322
3946	4753
3951	5837
3959	445, 6111
3987	89, 706, 710, 2868
3999	2562, 5246
4037	1126
4051	2322
4121	882, 883, 1893
4165	7663
4175	3124
4197	2727, 6931
4264	3829, 7311
4266	401
4324	3776
4403	1128, 1611, 5454, 7505
4438	774
4468	3202, 6734, 7838
4518	1827
4542	6470
4550	6480
4569	580, 2344
4571	2737, 5779
4635	1619, 3765, 7503
4690	2368, 6840
4728	345, 1605, 5539
4753	3946
4855	2078
4879	1377
4883	1369, 7590
4893	2560, 6099
4899	5618
4964	5234, 5395
5059	852
5070	2955
5122	525
5148	7273
5234	4964, 5395
5236	51, 1945, 7125, 7473
5244	237, 6109
5246	1032, 2562, 3999
5254	7832
180	179
5373	6821
5395	4964, 5234
5433	1595, 5902
5454	1128, 1611, 4403, 7505
5456	574
5514	145
5539	345, 1014, 1605, 3455, 4728
5618	2276, 4899
5654	33, 3146, 6986
5667	5868
5671	7324
5709	6093
5747	3587
5777	2316
5779	2737, 4571
5789	7806
5805	3347
5821	2368
5837	3951
5859	6330
5868	5667
5870	1373
5902	1595, 5433
5908	3506
6093	5709
6099	2560, 4893
6109	237, 5244
6111	445, 3959
6135	1377, 2324, 7905
6149	2068, 7926
1039	1038
6270	2201
6324	7008
6330	5859, 7069
6362	734
2204	2203, 2219
6470	4542
6478	1543, 7884
6480	4550
6603	15
6730	3669
6734	3202, 4468, 7838
6754	175, 663, 996, 2262, 2963, 7027, 7221, 7539
6779	7505
6785	636
6787	2742, 6968
6821	5373
6840	4690
6929	7855
6931	2727, 4197
6968	2742, 6787
6986	33, 3146, 5654
7008	6324
7027	175, 663, 996, 2262, 2963, 6754, 7221, 7539
7069	6330
7125	51, 1945, 5236, 7473
7204	1899
7221	175, 663, 996, 2262, 2963, 6754, 7027, 7539
7253	1947
7273	5148
7309	2140
7311	3829, 4264
7319	636
7324	5671
7342	319
7415	15
7473	51, 1945, 5236, 7125
7485	2840
7495	185, 1373
7503	1619, 3765, 4635
7505	1128, 1611, 4403, 5454, 6779
7539	175, 663, 996, 2262, 2963, 6754, 7027, 7221
7582	714
7590	1369, 4883
7663	4165
7800	57
7806	177, 5789
7832	5254
7838	3202, 4468, 6734
7842	145
7855	6929
7857	7940
7884	1543, 6478
7905	6135
7914	1293
7916	980
7926	2068, 6149
7940	7857
